subj,n_trials,converged,NLL,d,w1,tau,s,T0,F
1501,151,False,118.6570401288198,0.09531745371048167,3.708106223556686,0.4224476955559467,0.3880912344325258,1.9730261756162555,3.0488808457201637
1502,184,True,82.9052779150234,0.010139882738768842,3.496432157536506,0.9598393593329,0.21364161843432894,1.9920000861477065,4.951488023238073
1503,199,True,82.0469563416414,0.01,3.702088344628958,0.2962869798209191,0.4622877405775366,1.996000000509748,2.9450168563995405
1504,120,True,103.00789850094881,0.017455923683545496,3.62622506442426,1.2331233635558485,0.2839862984500198,1.9268708125774066,3.7875467328386607
1505,91,True,37.26113862501444,0.8815182018506557,2.4939402833895348,-4.471576682683758,0.4301236273715908,2.0,0.051524343150795085
1509,113,True,92.16717679905685,0.21315336376336053,2.7166891613490765,-0.13917650528738004,0.30352643646348065,2.0,1.9470498699446934
1512,145,False,143.0456951313895,0.01,3.4023693468987903,1.0926011988028164,0.3391713387419368,1.0660000157359615,3.7577125976523766
1517,96,True,165.90390782490255,0.4832203859428854,4.876634721703668,-1.0073078811168648,0.3240921803895631,1.8520000022933916,2.078399748521061
1518,104,True,51.437565985968796,0.4696993852724442,3.190118629001896,-1.9254997857941982,0.46559927703478615,2.0,0.2873653924278072
1521,141,True,100.49006348932268,0.053549618517553056,14.335038224242764,2.113572701562813,0.40574731142649323,2.0,10.0
1529,161,True,107.78365997280514,0.030262910608737734,4.61893600866119,0.7344137255941414,0.421560932502475,1.995000043694606,4.559814103111494
1530,191,False,89.97651871839315,0.07865249371168537,4.269941766660991,0.3610157838792676,0.3797537129384551,1.9800000075809043,2.6337268609836895
1532,134,True,132.235650524829,0.1519445033410507,3.5792594048277073,0.23733079669424523,0.4438788387337733,2.0,2.618239205851471
1535,185,False,41.163528990821575,0.013042219591027738,4.11279163444382,0.12836977555005205,0.3786519932430006,1.9651140031474963,3.8176481516019662
1536,141,False,130.24041939184764,0.19844024952110542,5.025839710393452,0.32085722989704857,0.8326868016702464,1.353997659239148,0.603713054665713
1538,150,True,99.37447687425902,0.25195931750144773,1.599698477866748,-0.7903628967818783,0.40858789742698237,1.9968862079321437,0.6532882389279195
1540,130,True,84.20995519054269,0.27501377907740115,1.930216019319879,-1.5661763565118865,0.5754185385576905,2.0,0.7995471015359326
1542,136,True,91.20103445987795,0.39535312197982003,2.0402998983142013,-1.0074804550095602,0.4086687452205207,2.0,0.4869476027526695
1548,86,True,102.87668943293085,0.2724405284005959,0.9682580023279501,-0.8320872766594251,0.5295385297551045,2.0,1.4321317805075675
1552,121,True,72.82610076472713,0.2209334958380391,13.23788776589148,0.7916591270267144,0.40863988527557416,2.0,4.9448427260926895
1557,151,False,114.33710123050504,0.06217346909130603,3.9918366883864955,0.7071813432448472,0.3173292549433133,1.9642704680577014,2.8606901793132504
28000,125,True,129.70052545915968,0.30024852425198906,5.824655651841399,-0.28570767142519576,0.4438918037818614,2.0,1.8653592762333113
28234,97,False,157.82056515961997,0.5493949121276778,4.505931728188766,-1.8399307103348637,0.8973384865627806,1.3449997864010572,3.0286471659561225
28308,170,True,61.70229724819225,0.17845959788640664,1.7501633373006522,-0.996453986622143,0.43492415334524975,1.995525825109113,0.6824022098909298
28309,104,True,109.89402364488276,0.01,3.4972583024443824,1.2361369371180257,0.3060940936020941,1.715000001993342,4.726070166799729
28999,19,False,4.084952847291824,0.5787993380205587,4.642263941247694,1.6799773949097208,0.6059072235952766,0.9928610839173307,0.798735853380658
29212,183,True,84.92524777151088,0.403020979052234,1.020546027114186,-1.7308204291442448,0.47522759129912606,2.0,0.2238888663677054
29220,112,True,70.6507938850267,0.40989033762971566,1.4927066299166691,-1.41688012126936,0.4164242992692684,2.0,0.22361268893547848
29221,175,False,100.69576356315213,0.09808247277759441,3.5633113954056848,0.32842316243452946,0.34784414646678113,1.9110027058245684,2.4633438421357754
29227,111,False,87.99255212025304,0.3188561035341042,5.1921535106961745,-0.7100729379745311,0.38066140565776835,1.9604584556765972,1.571686226253008
29230,221,True,79.74091708307125,0.04614974620857589,5.722397476478052,-0.2641401996770424,0.7766594116374258,2.0,0.9566309939827133
29233,175,True,47.02741138748925,0.5622421184653257,4.695243648715823,-6.868437419396541,0.4103158365744822,2.0,0.27472707158056925
