subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,d,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1501,125,221.72610042555564,211.59308958425294,28,28,499.4522008511113,479.1861791685059,578.6449854955757,558.3789638129704,-20.266021682605412,-20.266021682605356,0.11426413489073871,0.3034330693277128,0.6449317395441835,0.8716829994540877,0.7113851708944667,0.936352728810867,True,True
1502,156,179.5929183711573,182.96648389691418,28,28,415.1858367423146,421.93296779382837,500.58180494530166,507.3289359968154,6.7471310515137475,6.7471310515137475,0.09009199270800222,0.25124840746678595,0.4229770731611818,0.7094203326340199,0.42558756715777685,0.6949904252104512,True,True
1503,173,2000192.641257261,2000206.7231739066,28,28,4000441.282514522,4000469.446347813,4000529.574679168,4000557.738512459,28.16383329126984,28.16383329126984,0.0996532785387202,0.16335832402872708,0.528090015226917,0.7653330210055579,0.5205177100186132,0.7687014534378702,True,True
1504,102,210.05070862246993,218.33950858275938,20,20,460.10141724493985,476.67901716551876,512.6008735106252,529.1784734312041,16.577599920578905,16.577599920578905,1.147456116862651e-14,0.42254807688296736,0.6649433406026677,0.7843940130609018,0.6442585979751506,0.8171711235097884,True,True
1505,64,78.71621183798311,71.33155207962531,28,28,213.43242367596622,198.66310415925062,273.881150010037,259.1118304933214,-14.769319516715598,-14.769319516715598,0.26944404010288786,0.15556679817463764,0.5834494641078769,1.0523202569590098,0.5886898541778927,1.9999996134063553,True,True
1509,86,150.582054180893,149.44309575907826,25,25,351.164108361786,348.8861915181565,412.5227907681237,410.2448739244942,-2.277916843629498,-2.277916843629498,0.18477865021322026,0.27196824400220354,0.5295012754882762,0.9208696016739328,0.5577436873556895,1.1787627882804805,True,True
1512,120,189.06723994865442,191.97965315540586,28,28,434.13447989730884,439.9593063108117,512.1842486952062,518.009075108709,5.824826413502876,5.824826413502819,9.241229906890495e-17,0.41727377792712167,0.6076385555467135,0.5654738554831374,0.6087496510389873,0.5862966823936866,True,True
1517,75,184.1364013091782,176.12974476476538,13,13,394.2728026183564,378.25948952953075,424.4001480943285,408.3868350055028,-16.01331308882567,-16.01331308882567,0.37145578005386193,0.3325646813953187,0.3138486988834919,1.9999995856509,0.541299720903343,1.9999995594870288,True,True
1518,74,1000100.6969156774,1000085.3649954385,28,28,2000257.3938313548,2000226.729990877,2000321.9076539646,2000291.2438134868,-30.663840477820486,-30.663840477820486,0.13005540329820625,0.15195406059426356,0.48948300724798616,0.8783556262619829,0.5082591538615285,1.9999995849531211,True,True
1521,112,197.70390166328082,207.98214529322829,28,28,451.40780332656163,471.96429058645657,527.5257717228243,548.0822589827192,20.556487259894936,20.55648725989488,0.076007574767161,0.32367512247921065,0.359742465711304,0.7430039030572144,0.36805772088294375,0.8632828076432063,True,True
1529,136,196.1417357192623,208.24322519860604,28,28,448.2834714385246,472.4864503972121,529.8378082391341,554.0407871978216,24.20297895868748,24.20297895868748,0.03557631566788355,0.22162757523453555,0.6853991996700491,0.8269622090435789,0.6833781640839459,0.959667397387859,True,True
1530,163,173.28573195970253,158.62825485854754,28,28,402.57146391940506,373.25650971709507,489.1964695419944,459.8815153396844,-29.31495420230999,-29.31495420230999,0.32304476433017004,0.19347243319646856,0.666439946748856,0.543915199422533,0.6833028158771758,0.5655138620681978,True,True
1532,113,211.79387286380927,213.26179605807363,23,23,469.58774572761854,472.52359211614726,532.3176655580023,535.253511946531,2.9358463885287165,2.9358463885287165,0.22020552650717967,0.3526906126983591,0.769087844319584,0.902299556670585,0.7861868119585443,1.0601000067873145,True,True
1535,159,59.24663320154141,75.88409230867036,28,28,174.49326640308283,207.76818461734072,260.4225840652493,293.6975022795072,33.274918214257895,33.27491821425792,5.257964728167952e-07,5.363445591235809e-07,0.7677800779323506,0.5414333390896982,0.7636471553397101,0.7854416610131596,True,True
1536,121,3000241.012147709,3000241.092176664,21,21,6000524.024295418,6000524.184353328,6000582.735896875,6000582.895954786,0.16005791071802378,0.16005791071802378,0.29383501971370574,0.4700234593025875,0.4685030830820306,0.6256945260497138,0.4456715674556999,0.7941712984260304,True,True
1540,99,1000137.2686511304,1000130.6137157533,28,28,2000330.5373022608,2000317.2274315066,2000403.2006580646,2000389.8907873104,-13.309870754135773,-13.309870754135773,0.022932998977269223,0.11367126710879259,0.523581715960425,1.1217117901862395,0.5865050085919459,1.3867235130913598,True,True
1542,109,186.4646491761393,190.99677191448043,28,28,428.9292983522786,437.99354382896087,504.28703905469456,513.3512845313769,9.064245476682288,9.064245476682345,0.19617231585204964,0.351161531745232,0.5285228129148642,0.8457256233335194,0.5390708613642703,0.9473819589086869,True,True
1552,91,102.47467638942364,102.56314069926198,28,28,260.94935277884724,261.12628139852393,331.2534189613191,331.4303475809958,0.17692861967668705,0.17692861967668705,0.20103666150003136,0.22974912761495292,0.8096767158847088,0.5849959574107391,0.8304007418923823,0.9106409692259124,True,True
1557,124,1000211.6795132644,1000200.0111172015,28,28,2000479.359026529,2000456.022234403,2000558.3269103658,2000534.99011824,-23.33679212583229,-23.33679212583229,0.07421507483568872,0.2951679431450303,0.556316804062962,0.9538348777089638,0.737116546862624,0.9039093840037842,True,True
29212,158,210.36364730636387,201.91765505702233,28,28,476.72729461272775,459.83531011404466,562.4799555374829,545.5879710387998,-16.891984498683087,-16.891984498683087,0.17124856534342012,0.2833483708041902,0.5389216374330253,0.7023132622937955,0.547751829548238,0.6557966627138047,True,True
