subj,n_trials,converged,NLL,phi,tau,s,T0,F,status,message,nit,nfev
29221,175,True,214.62077022170087,0.09618715951300812,-0.7026316094288363,0.24950869749066712,0.479764944253246,0.8442472530834466,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,120
29227,111,True,151.09621786973142,0.1158791978309022,-0.9,0.27,0.8050005454941945,0.9556819603240437,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11,354
29230,221,True,157.64724263005044,0.1324644783155029,-0.8978201309712566,0.23,0.54002847528216,0.5,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,17,108
29233,175,True,145.82784722574277,0.03329542111024651,-0.9,0.23,0.6782975955509292,0.9080051216317019,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,17,120
29239,106,True,130.60191710557748,0.19546888248318814,-0.8967139828461023,0.23875948670664682,0.3986219114592237,0.691021706364971,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,13,90
29240,107,True,117.62810911347913,0.15525141239381152,-0.9,0.23,0.3186017259221962,1.008282544026334,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12,90
29245,108,True,129.3398300900125,0.12109565707008475,-0.9,0.25720768335620525,0.6151714247261021,0.7387566032376679,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,120
29280,99,True,143.92504672706895,0.13433089541595386,-0.9,0.27,0.9681246192641006,0.9725726962022138,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11,72
29281,126,True,138.89047597951992,0.04400942238515525,-0.7,0.27,0.9767571625492334,0.7179086994743415,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,114
29303,156,True,193.99444731469882,0.09663650045975991,-0.7,0.27,0.5446495388592438,0.7593802540751706,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,120
29305,145,True,146.54551940527614,0.08267388707682641,-0.9,0.27,0.8387025314642824,0.6131256410785789,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,150
29306,197,True,174.5306118608457,0.01,-0.7998375863311912,0.23,0.4955538454344218,1.048246362556196,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22,156
29307,131,True,122.89734501918223,0.06469516896847546,-0.9,0.23,0.8631647071531331,0.8381634457140795,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11,72
29310,105,True,161.69438617525026,0.16721150837961116,-0.8196494251188672,0.27,0.51332415410232,0.8481956965774954,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,14,90
29318,129,True,166.64274576791814,0.16357305453728518,-0.899220930915128,0.27,0.9247220045665702,0.6542755997685096,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11,72
29326,157,True,158.3935299013154,0.1172842690960078,-0.7,0.24956747093899123,0.6835776286528226,0.546722801330064,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,102
29328,145,True,168.91762812301087,0.0772878930982775,-0.9,0.26260635315253095,0.7460961998036327,0.8236200366120042,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12,78
