subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,status,message,nit,nfev
29245,108,True,124.98227429478443,0.26449458825069366,2.277368115611406,-0.7001970806661936,0.27,0.6911630027474138,0.9562073592888473,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,301
29280,99,True,140.93229799884125,0.3258808838114766,2.8982707040026336,-0.7,0.27,0.9883272621569417,1.322415032862824,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,140
29281,126,True,139.51851558379278,0.1989044713543526,1.4456661186867321,-0.7,0.27,0.9826502060321716,0.7514664266477393,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,189
29303,156,True,202.23796477012417,0.2625638735588405,1.487683179350846,-0.7,0.27,0.5467877282862894,0.8349842373317642,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,18,350
29305,145,True,150.18562879222063,0.21564054123895657,1.691371854637699,-0.7,0.27,0.8006265475505098,0.8246437753815666,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,22,203
29306,197,True,178.42468367307532,0.16346577993653466,3.381544635001098,-0.7,0.23,0.5007002739930306,1.9291124836241793,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,25,196
29307,131,True,123.35288925178196,0.23571509897248843,2.7097080063284213,-0.7120459262425448,0.23,0.8063662366094206,1.2902599824715426,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,17,140
29310,105,True,163.31009835040132,0.2998892218666503,1.7540827732837008,-0.7,0.27,0.5233289810645598,1.0609483906317856,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,16,133
29318,129,True,166.5049593217362,0.3626294460768666,3.272640415728509,-0.7,0.27,0.9465067960375246,0.9236035645444475,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,17,140
29326,157,True,160.5090716760925,0.26928975960574864,1.6299242673544037,-0.7,0.27,0.7039098809898937,0.6035824430523131,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,20,189
29328,145,True,163.44791657681841,0.27613128652606395,3.5645093581897194,-0.7,0.26719387792547616,0.7579552451239177,1.2286344715424473,0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,19,154
