subj,n_test,nll_actr,nll_fear,n_params_actr,n_params_fear,aic_actr,aic_fear,bic_actr,bic_fear,delta_aic,delta_bic,c,d,t0_actr,F_actr,t0_fear,F_fear,converged_actr,converged_fear
1501,126,198.3649273639243,199.2369880975671,5,6,406.7298547278486,410.4739761951342,420.911264262606,427.49166763684303,3.744121467285595,6.580403374237051,0.1691780276206075,0.3331599934716684,0.6778749318676411,0.6469545047803403,0.6967002930425586,0.8622070467119277,True,True
1502,159,169.73374797452607,167.88035424802752,5,6,349.46749594905214,347.76070849605503,364.8120169601533,366.1741337093764,-1.706787452997105,1.3621167492231052,0.1441283183218302,0.2837966750195376,0.4145870698368969,0.542898785153605,0.4607200349194997,0.6517021036108261,True,True
1503,174,203.40734872897733,205.60129180530927,5,6,416.81469745795465,423.20258361061855,432.6099739540273,442.1569154059057,6.387886152663896,9.54694145187841,0.1400845861145701,0.2773964458773968,0.3353209266097275,0.816116087393033,0.3406070555767457,1.1185781874319007,True,True
1504,103,156.72681683944592,167.42983716600736,5,6,323.45363367889183,346.8596743320147,336.62727862004,362.6680482613925,23.406040653122886,26.04076964135254,0.1891045932485628,0.3789909420291246,0.7248849073118127,0.6438910970260525,0.7441311283343864,0.6888343896672662,True,True
1505,66,85.66329475134775,80.19067112595714,5,6,181.3265895026955,172.38134225191428,192.27486321282763,185.51927070407282,-8.945247250781222,-6.755592508754802,0.0937847870652552,0.283550114694138,0.6361843503172977,0.9165835443658126,0.641154447839216,1.3886492467666611,True,True
1509,91,149.1454190145354,148.93060321812052,5,6,308.2908380290708,309.86120643624105,320.84513556165507,324.92636347534216,1.5703684071702355,4.081227913687087,0.1786263423405361,0.3299127024598841,0.6688331963007499,0.5902152387147536,0.6970713536988007,0.7752002271224545,True,True
1512,120,158.08350524819767,162.99979664533413,5,6,326.16701049639533,337.99959329066826,340.1044692103056,354.72454374736054,11.832582794272923,14.620074537054961,0.1799688629196427,0.2877280337070288,0.5780467848999248,0.6257524401423099,0.6606966964663153,0.6560953456315686,True,True
1517,86,217.14840294462095,205.97513406061685,5,6,444.2968058892419,423.9502681212337,456.5685423705095,438.6763518987548,-20.346537768008204,-17.892190471754702,0.206467319401744,0.4863917817022616,0.2792930607348252,2.0,0.5318873545079448,2.0,True,True
1518,79,117.84166032760284,110.68243587258522,5,6,245.68332065520568,233.36487174517043,257.5305599175408,247.58155885997257,-12.318448910035244,-9.949001057568239,0.1258344091321195,0.2905240357151445,0.304753945800966,0.9826273523571736,0.3907072418946271,1.3983255760112527,True,True
1521,116,173.87555083904405,185.40600144982523,5,6,357.7511016780881,382.81200289965045,371.51905263361994,399.33354404628864,25.060901221562347,27.8144914126687,0.1410547732410954,0.2979702623660775,0.3566191684981779,0.6881488811402496,0.4010000932918609,0.6844610666380027,True,True
1529,136,189.47845833686375,192.8502305875974,5,6,388.9569166737275,397.7004611751948,403.52019110240775,415.1763904896111,8.743544501467284,11.656199387203344,0.105857956208205,0.2658815661598105,0.6848429538148755,0.6667669901245465,0.6875477301007944,0.7898928362400547,True,True
1530,166,174.9307376796712,174.13441959923705,5,6,359.8614753593424,360.2688391984741,375.42141430112514,378.94076592861336,0.4073638391316763,3.51935162748822,0.0942169091821153,0.2956904048570649,0.6747301690238576,0.5,0.6833547417202205,0.5982047140173843,True,True
1532,114,208.4545939166419,215.0996684298878,5,6,426.9091878332838,442.1993368597756,440.5901800752563,458.61652755014256,15.290149026491804,18.02634747488628,0.1331996381675457,0.4094270816366777,0.7558534057038786,1.0275570875680686,0.7756284697908391,1.228502641587014,True,True
